datetime,timestamp,open,high,low,close,funding_rate
2020-10-18 16:00:00.000,1603036800.0,375.73,376.27,374.97,375.72,0.0001
2020-10-19 00:00:00.000,1603065600.0,378.28,379.99,373.12,375.45,0.0001
2020-10-19 08:00:00.000,1603094400.0,375.07,375.90,374.32,375.67,0.0001
2020-10-19 16:00:00.000,1603123200.0,383.76,384.53,382.03,382.55,0.0001
2020-10-20 00:00:00.015,1603152000.015,379.47,379.60,378.02,379.09,0.00011516
2020-10-20 08:00:00.000,1603180800.0,375.72,375.75,373.88,374.71,0.00037754
2020-10-20 16:00:00.008,1603209600.008,371.20,372.97,370.17,371.20,0.0001
2020-10-21 00:00:00.009,1603238400.009,368.74,372.85,367.90,372.13,0.0001
2020-10-21 08:00:00.004,1603267200.004,379.44,379.76,377.20,377.40,0.00031887
2020-10-21 16:00:00.000,1603296000.0,392.51,400.38,392.46,396.74,0.00050823
2020-10-22 00:00:00.000,1603324800.0,390.95,397.24,390.57,396.50,0.00083557
2020-10-22 08:00:00.000,1603353600.0,395.29,399.70,395.16,398.11,0.00052961
2020-10-22 16:00:00.004,1603382400.004,414.96,417.78,413.50,417.00,0.00074052
2020-10-23 00:00:00.007,1603411200.007,414.38,414.64,409.44,412.69,0.0005259
2020-10-23 08:00:00.000,1603440000.0,413.16,415.95,412.00,413.78,0.00033468
2020-10-23 16:00:00.000,1603468800.0,412.31,413.80,401.82,406.00,0.00024975
2020-10-24 00:00:00.000,1603497600.0,409.41,410.20,407.33,408.50,0.00051273
2020-10-24 08:00:00.000,1603526400.0,410.52,411.62,408.26,409.66,0.00042291
2020-10-24 16:00:00.008,1603555200.008,414.46,415.26,411.61,413.41,0.00034696
2020-10-25 00:00:00.005,1603584000.005,412.34,413.88,410.60,413.40,0.00039795
2020-10-25 08:00:00.014,1603612800.014,409.65,409.77,407.50,409.27,0.0001
2020-10-25 16:00:00.000,1603641600.0,406.04,409.00,402.60,408.02,0.0001
2020-10-26 00:00:00.004,1603670400.004,406.14,408.80,403.00,408.18,0.0001
2020-10-26 08:00:00.000,1603699200.0,405.32,407.00,401.00,406.22,0.0001
2020-10-26 16:00:00.000,1603728000.0,393.82,395.86,383.58,386.96,0.0002133
2020-10-27 00:00:00.000,1603756800.0,392.43,395.89,392.13,394.49,0.0001
2020-10-27 08:00:00.000,1603785600.0,394.30,394.85,392.98,393.67,0.0001
2020-10-27 16:00:00.000,1603814400.0,406.44,410.00,405.83,409.91,0.00018409
2020-10-28 00:00:00.000,1603843200.0,403.59,406.40,402.70,405.60,0.00015253
2020-10-28 08:00:00.006,1603872000.006,396.82,397.65,391.10,397.03,0.0001
2020-10-28 16:00:00.001,1603900800.001,387.43,387.80,382.40,385.10,0.0001
2020-10-29 00:00:00.000,1603929600.0,388.17,390.14,387.60,388.20,0.0001
2020-10-29 08:00:00.000,1603958400.0,387.11,388.73,384.58,386.30,0.0001
2020-10-29 16:00:00.000,1603987200.0,390.73,394.27,389.68,391.55,0.0001
2020-10-30 00:00:00.000,1604016000.0,386.94,391.88,383.06,390.92,0.0001
2020-10-30 08:00:00.002,1604044800.002,378.61,384.00,377.23,378.01,0.0001
2020-10-30 16:00:00.002,1604073600.002,382.09,382.30,379.50,380.17,0.0001
2020-10-31 00:00:00.003,1604102400.003,382.49,384.65,380.14,383.79,0.0001
2020-10-31 08:00:00.000,1604131200.0,383.78,388.74,383.78,386.99,0.0001
2020-10-31 16:00:00.000,1604160000.0,390.04,391.30,387.60,388.71,0.0001
2020-11-01 00:00:00.000,1604188800.0,386.28,390.50,384.32,386.66,0.0001
2020-11-01 08:00:00.000,1604217600.0,388.91,389.39,386.81,387.49,0.0001
2020-11-01 16:00:00.000,1604246400.0,388.46,390.00,387.94,389.39,0.0001
2020-11-02 00:00:00.000,1604275200.0,396.90,405.00,396.69,402.69,0.0001
2020-11-02 08:00:00.010,1604304000.01,399.58,399.63,383.00,384.40,0.00030095
2020-11-02 16:00:00.000,1604332800.0,385.06,386.67,384.27,386.13,0.0001
2020-11-03 00:00:00.000,1604361600.0,383.16,384.41,381.38,384.00,0.0001
2020-11-03 08:00:00.004,1604390400.004,375.27,378.62,374.08,377.64,0.0001
2020-11-03 16:00:00.009,1604419200.009,381.31,382.00,380.03,381.25,0.0001
2020-11-04 00:00:00.000,1604448000.0,388.11,388.69,384.16,384.31,0.0001
2020-11-04 08:00:00.000,1604476800.0,378.09,381.15,376.65,380.26,0.0001
2020-11-04 16:00:00.005,1604505600.005,383.58,402.71,383.00,401.50,0.0001
2020-11-05 00:00:00.017,1604534400.017,402.95,406.20,400.84,402.15,0.00076235
2020-11-05 08:00:00.001,1604563200.001,403.14,405.38,395.89,399.88,0.00073669
2020-11-05 16:00:00.000,1604592000.0,414.53,420.00,411.84,413.57,0.00069168
2020-11-06 00:00:00.000,1604620800.0,417.13,428.47,414.81,426.66,0.00035727
2020-11-06 08:00:00.001,1604649600.001,436.12,436.28,429.20,430.68,0.0007547
2020-11-06 16:00:00.001,1604678400.001,435.59,446.00,435.51,442.99,0.00073654
2020-11-07 00:00:00.001,1604707200.001,456.38,465.92,455.28,463.94,0.00048047
2020-11-07 08:00:00.000,1604736000.0,456.58,463.49,452.94,462.17,0.00103009
2020-11-07 16:00:00.006,1604764800.006,448.12,455.00,440.41,453.77,0.0005895
2020-11-08 00:00:00.000,1604793600.0,435.64,439.06,432.33,438.50,0.00021269
2020-11-08 08:00:00.000,1604822400.0,435.89,438.95,435.89,438.07,0.00034732
2020-11-08 16:00:00.000,1604851200.0,454.47,455.99,451.09,453.64,0.00058594
2020-11-09 00:00:00.007,1604880000.007,454.74,458.60,451.39,457.38,0.00050128
2020-11-09 08:00:00.001,1604908800.001,444.94,449.00,441.17,448.22,0.00025588
2020-11-09 16:00:00.002,1604937600.002,438.04,443.00,433.76,442.70,0.00028775
2020-11-10 00:00:00.003,1604966400.003,444.73,445.49,439.07,445.43,0.00016695
2020-11-10 08:00:00.011,1604995200.011,449.39,454.79,449.28,451.25,0.0003373
2020-11-10 16:00:00.000,1605024000.0,443.43,447.25,442.19,445.52,0.00036401
2020-11-11 00:00:00.000,1605052800.0,450.67,465.98,449.69,464.30,0.00043021
2020-11-11 08:00:00.009,1605081600.009,462.52,463.80,458.56,459.56,0.00018601
2020-11-11 16:00:00.003,1605110400.003,462.38,474.30,462.31,470.71,0.00041035
2020-11-12 00:00:00.001,1605139200.001,463.34,464.57,451.09,458.23,0.00039191
2020-11-12 08:00:00.001,1605168000.001,465.20,466.86,462.50,463.47,0.0001
2020-11-12 16:00:00.000,1605196800.0,461.61,461.81,455.76,457.16,0.0001
2020-11-13 00:00:00.000,1605225600.0,462.69,466.40,461.28,463.95,0.0001
2020-11-13 08:00:00.000,1605254400.0,460.41,466.39,458.21,465.24,0.0001
2020-11-13 16:00:00.000,1605283200.0,469.75,472.37,465.10,469.85,0.00051032
2020-11-14 00:00:00.005,1605312000.005,476.80,478.10,471.73,474.74,0.00058724
2020-11-14 08:00:00.004,1605340800.004,467.36,468.26,459.20,463.17,0.00011914
2020-11-14 16:00:00.001,1605369600.001,458.93,461.91,455.91,456.59,0.0001
2020-11-15 00:00:00.001,1605398400.001,461.02,462.96,459.53,461.78,0.0001
2020-11-15 08:00:00.000,1605427200.0,460.97,462.96,460.43,461.10,0.0001
2020-11-15 16:00:00.003,1605456000.003,456.37,457.20,452.22,453.75,0.0001
2020-11-16 00:00:00.000,1605484800.0,448.16,450.49,445.53,449.95,0.0001
2020-11-16 08:00:00.010,1605513600.01,454.74,455.57,453.39,453.55,0.0001
2020-11-16 16:00:00.001,1605542400.001,459.60,464.87,457.27,460.95,0.0001
2020-11-17 00:00:00.002,1605571200.002,460.70,468.58,460.00,468.55,0.0001
2020-11-17 08:00:00.003,1605600000.003,466.39,467.50,464.90,465.14,0.00024182
2020-11-17 16:00:00.003,1605628800.003,474.11,484.69,472.06,482.22,0.0003788
2020-11-18 00:00:00.005,1605657600.005,482.56,490.99,482.28,488.14,0.00089819
2020-11-18 08:00:00.006,1605686400.006,477.33,481.90,476.35,479.91,0.00037818
2020-11-18 16:00:00.000,1605715200.0,474.13,475.34,469.00,473.33,0.0001
2020-11-19 00:00:00.008,1605744000.008,478.60,480.68,474.35,479.09,0.0001
2020-11-19 08:00:00.000,1605772800.0,472.12,473.83,466.68,469.99,0.00014096
2020-11-19 16:00:00.001,1605801600.001,475.82,477.57,473.64,476.27,0.00038994
2020-11-20 00:00:00.003,1605830400.003,471.38,473.95,471.38,471.85,0.00016511
2020-11-20 08:00:00.005,1605859200.005,492.05,503.00,490.62,502.63,0.00078136
2020-11-20 16:00:00.000,1605888000.0,505.25,510.40,505.24,508.80,0.0007993
2020-11-21 00:00:00.000,1605916800.0,510.43,518.57,510.00,516.60,0.00011376
2020-11-21 08:00:00.000,1605945600.0,510.60,518.68,510.50,518.41,0.00012145
2020-11-21 16:00:00.001,1605974400.001,537.52,548.53,532.93,539.64,0.00075533
2020-11-22 00:00:00.005,1606003200.005,554.04,564.49,545.08,551.42,0.00080539
2020-11-22 08:00:00.000,1606032000.0,543.22,543.50,535.61,536.83,0.0008501
2020-11-22 16:00:00.000,1606060800.0,534.76,556.70,533.11,554.23,0.00073816
2020-11-23 00:00:00.005,1606089600.005,560.41,569.66,551.39,554.04,0.00158187
2020-11-23 08:00:00.000,1606118400.0,581.43,588.00,581.42,583.12,0.00114125
2020-11-23 16:00:00.003,1606147200.003,590.83,598.11,582.02,596.83,0.00085758
2020-11-24 00:00:00.000,1606176000.0,609.12,614.44,601.07,612.50,0.00064276
2020-11-24 08:00:00.000,1606204800.0,605.66,624.65,605.66,622.47,0.00091981
2020-11-24 16:00:00.005,1606233600.005,608.08,615.00,603.01,609.20,0.00116688
2020-11-25 00:00:00.005,1606262400.005,605.71,607.09,601.43,602.28,0.00073994
2020-11-25 08:00:00.005,1606291200.005,593.76,599.80,593.00,596.43,0.00053128
2020-11-25 16:00:00.015,1606320000.015,594.30,597.91,586.60,588.27,0.00116534
2020-11-26 00:00:00.012,1606348800.012,569.79,577.53,562.97,575.82,0.00048837
2020-11-26 08:00:00.002,1606377600.002,516.52,518.62,480.12,500.90,0.0001
2020-11-26 16:00:00.001,1606406400.001,508.39,513.09,494.29,498.43,0.00013275
2020-11-27 00:00:00.001,1606435200.001,520.20,530.54,515.20,528.88,0.0002475
2020-11-27 08:00:00.000,1606464000.0,517.76,518.05,503.11,509.47,0.0001
2020-11-27 16:00:00.007,1606492800.007,496.43,507.04,493.80,506.61,0.0001
2020-11-28 00:00:00.007,1606521600.007,518.89,520.93,513.96,518.85,0.0001
