datetime,timestamp,open,high,low,close,funding_rate
00:00.0,1602201600,10919.45,10934.43,10854,10873.31,6.128e-05
00:00.0,1602230400,10888.66,10897.08,10878.55,10893.13,0.0001
00:00.0,1602259200,11083.8,11103.61,11039,11048.51,0.0001
00:00.0,1602288000,11050.46,11091.69,11050.46,11077,0.0001
00:00.0,1602316800,11381.99,11397.59,11364.03,11376.34,0.0001
00:00.0,1602345600,11352.5,11378.26,11310.67,11336.45,0.0001
00:00.0,1602374400,11294.78,11322.66,11273.77,11303,0.0001
00:00.0,1602403200,11353.96,11370,11339.9,11348.95,0.0001
00:00.0,1602432000,11404.7,11427,11363.66,11393.67,0.0001
00:00.0,1602460800,11369.59,11379.43,11345.86,11376.99,0.0001
00:00.0,1602489600,11376.24,11394.64,11358,11358.93,0.0001
00:00.0,1602518400,11551.67,11579.52,11530,11553.52,0.0001
00:00.0,1602547200,11530.37,11546.44,11430.66,11496.39,0.0001
00:00.0,1602576000,11452.91,11489.98,11443,11487.04,0.0001
00:00.0,1602604800,11384.53,11400,11338.98,11394,0.0001
00:00.0,1602633600,11419.36,11489.48,11406.21,11475.3,0.0001
00:00.0,1602662400,11412.27,11445.99,11411.31,11435.17,0.0001
00:00.0,1602691200,11319.81,11355.5,11295.83,11340.01,0.0001
00:00.0,1602720000,11417.12,11425.65,11387,11390.87,0.0001
00:00.0,1602748800,11393.99,11402.11,11331.2,11343.07,0.0001
00:00.0,1602777600,11395.42,11486.27,11362,11378.89,0.0001
00:00.0,1602806400,11502,11507.2,11467.38,11504.13,0.0001
00:00.0,1602835200,11309.01,11349.49,11300,11305.01,0.0001
00:00.0,1602864000,11332.57,11353.98,11311,11345.45,0.0001
00:00.0,1602892800,11319.51,11326.54,11260,11293.98,0.0001
00:00.0,1602921600,11340.95,11353.7,11313.52,11315.01,0.0001
00:00.0,1602950400,11335.9,11344.62,11300.42,11325.15,0.0001
00:00.0,1602979200,11356.25,11389.2,11342.54,11368.01,0.0001
00:00.0,1603008000,11452.45,11477.52,11415.09,11427.67,0.0001
00:00.0,1603036800,11445.54,11462.69,11427.01,11454.8,0.0001
00:00.0,1603065600,11501.5,11543,11440.02,11465.51,0.0001
00:00.0,1603094400,11459.05,11468,11442.62,11462.54,0.0001
00:00.0,1603123200,11801.12,11830,11740.89,11757,0.0001
00:00.0,1603152000,11744.99,11749.31,11696.04,11721.43,0.0001
00:00.0,1603180800,11730.22,11759,11696,11734.89,0.0001
00:00.0,1603209600,11920.76,11989,11882.21,11961.05,3.742e-05
00:00.0,1603238400,11900.03,11974,11876,11966.2,2.291e-05
